TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
1,A,2019,2019,5415,Computer systems design and related services,378.6,1
1,A,2019,2019,55,Management of companies and enterprises,405.6,1
1,A,2019,2019,56,Administrative and waste management services,670.2,1
1,A,2019,2019,561,Administrative and support services,611.3,1
1,A,2019,2019,562,Waste management and remediation services,58.9,1
1,A,2019,2019,6,"Educational services, health care, and social assistance",1884.2,1
1,A,2019,2019,61,Educational services,270.3,1
1,A,2019,2019,62,Health care and social assistance,1613.9,1
1,A,2019,2019,621,Ambulatory health care services,783.4,1
1,A,2019,2019,622,Hospitals,525.0,1
1,A,2019,2019,623,Nursing and residential care facilities,158.6,1
1,A,2019,2019,624,Social assistance,146.9,1
1,A,2019,2019,7,"Arts, entertainment, recreation, accommodation, and food services",922.2,1
1,A,2019,2019,71,"Arts, entertainment, and recreation",237.1,1
1,A,2019,2019,711AS,"Performing arts, spectator sports, museums, and related activities",140.5,1
1,A,2019,2019,713,"Amusements, gambling, and recreation industries",96.6,1
1,A,2019,2019,72,Accommodation and food services,685.0,1
1,A,2019,2019,721,Accommodation,194.9,1
1,A,2019,2019,722,Food services and drinking places,490.2,1
1,A,2019,2019,81,"Other services, except government",477.9,1
1,A,2019,2019,FIRE,"Finance, insurance, real estate, rental, and leasing",4458.1,1
1,A,2019,2019,G,Government,2630.2,1
1,A,2019,2019,GDP,Gross domestic product,21540.0,1
1,A,2019,2019,GF,Federal,817.4,1
1,A,2019,2019,GFE,Government enterprises,65.6,1
1,A,2019,2019,GFG,General government,751.7,1
1,A,2019,2019,GFGD,National defense,432.3,1
1,A,2019,2019,GFGN,Nondefense,319.5,1
1,A,2019,2019,GSL,State and local,1812.8,1
1,A,2019,2019,GSLE,Government enterprises,151.1,1
1,A,2019,2019,GSLG,General government,1661.7,1
1,A,2019,2019,HS,Housing,1971.4,1
1,A,2019,2019,ICT,Information-communications-technology-producing industries<sup>3</sup>,1505.4,1;1.3.A
1,A,2019,2019,ORE,Other real estate,592.3,1
1,A,2019,2019,PGOOD,Private goods-producing industries<sup>1</sup>,3680.0,1;1.1.A
1,A,2019,2019,PROF,Professional and business services,2728.9,1
1,A,2019,2019,PSERV,Private services-producing industries<sup>2</sup>,15229.8,1;1.2.A
1,A,2019,2019,PVT,Private industries,18909.8,1
1,A,2020,2020,11,"Agriculture, forestry, fishing, and hunting",162.9,1
1,A,2020,2020,111CA,Farms,119.0,1
1,A,2020,2020,113FF,"Forestry, fishing, and related activities",43.9,1
1,A,2020,2020,21,Mining,201.9,1
1,A,2020,2020,211,Oil and gas extraction,103.3,1
1,A,2020,2020,212,"Mining, except oil and gas",57.2,1
1,A,2020,2020,213,Support activities for mining,41.4,1
1,A,2020,2020,22,Utilities,345.7,1
1,A,2020,2020,23,Construction,957.8,1
1,A,2020,2020,311FT,Food and beverage and tobacco products,289.2,1
1,A,2020,2020,313TT,Textile mills and textile product mills,15.9,1
1,A,2020,2020,315AL,Apparel and leather and allied products,9.5,1
1,A,2020,2020,31G,Manufacturing,2149.5,1
1,A,2020,2020,31ND,Nondurable goods,949.3,1
1,A,2020,2020,321,Wood products,42.9,1
1,A,2020,2020,322,Paper products,65.0,1
1,A,2020,2020,323,Printing and related support activities,36.5,1
1,A,2020,2020,324,Petroleum and coal products,60.5,1
1,A,2020,2020,325,Chemical products,392.5,1
1,A,2020,2020,326,Plastics and rubber products,80.3,1
1,A,2020,2020,327,Nonmetallic mineral products,63.8,1
1,A,2020,2020,331,Primary metals,56.2,1
1,A,2020,2020,332,Fabricated metal products,148.2,1
1,A,2020,2020,333,Machinery,150.0,1
1,A,2020,2020,334,Computer and electronic products,273.6,1
1,A,2020,2020,335,"Electrical equipment, appliances, and components",57.7,1
1,A,2020,2020,3361MV,"Motor vehicles, bodies and trailers, and parts",142.6,1
1,A,2020,2020,3364OT,Other transportation equipment,143.7,1
1,A,2020,2020,337,Furniture and related products,29.5,1
1,A,2020,2020,339,Miscellaneous manufacturing,92.0,1
1,A,2020,2020,33DG,Durable goods,1200.2,1
1,A,2020,2020,42,Wholesale trade,1301.8,1
1,A,2020,2020,441,Motor vehicle and parts dealers,255.3,1
1,A,2020,2020,445,Food and beverage stores,191.2,1
1,A,2020,2020,44RT,Retail trade,1333.1,1
1,A,2020,2020,452,General merchandise stores,162.2,1
1,A,2020,2020,481,Air transportation,63.8,1
1,A,2020,2020,482,Rail transportation,41.8,1
1,A,2020,2020,483,Water transportation,12.8,1
1,A,2020,2020,484,Truck transportation,196.6,1
1,A,2020,2020,485,Transit and ground passenger transportation,40.7,1
1,A,2020,2020,486,Pipeline transportation,38.5,1
1,A,2020,2020,487OS,Other transportation and support activities,162.9,1
1,A,2020,2020,48TW,Transportation and warehousing,638.7,1
1,A,2020,2020,493,Warehousing and storage,81.6,1
1,A,2020,2020,4A0,Other retail,724.4,1
1,A,2020,2020,51,Information,1181.3,1
1,A,2020,2020,511,"Publishing industries, except internet (includes software)",303.1,1
